fry,class
d93416,LYASE
d93417,OXIDOREDUCTASE
d93418,HYDROLASE
d93419,LYASE
d93420,IMMUNE SYSTEM
d93421,CELL INVASION
d93422,VIRAL PROTEIN
d93423,VIRAL PROTEIN
d93424,HYDROLASE
d93425,TRANSPORT PROTEIN
d93426,HYDROLASE
d93427,RIBOSOME
d93428,HYDROLASE
d93429,TRANSFERASE
d93430,TRANSCRIPTION
d93431,HYDROLASE
d93432,TRANSFERASE
d93433,TRANSCRIPTION
d93434,TRANSLATION
d93435,SIGNALING PROTEIN
d93436,HYDROLASE/HYDROLASE INHIBITOR
d93437,TRANSFERASE
d93438,OXIDOREDUCTASE
d93439,LYASE/TRANSFERASE
d93440,HYDROLASE
d93441,HYDROLASE
d93442,TRANSFERASE
d93443,TRANSFERASE
d93444,OXIDOREDUCTASE
d93445,HYDROLASE
d93446,HYDROLASE
d93447,HYDROLASE
d93448,HYDROLASE
d93449,CELL ADHESION
d93450,HYDROLASE
d93451,LIGASE
d93452,REPLICATION
d93453,CHAPERONE
d93454,OXIDOREDUCTASE
d93455,CYTOKINE
d93456,TRANSCRIPTION/DNA
d93457,STRUCTURAL GENOMICS
d93458,OXIDOREDUCTASE
d93459,HYDROLASE
d93460,HYDROLASE/HYDROLASE INHIBITOR
d93461,RNA
d93462,TRANSCRIPTION
d93463,ELECTRON TRANSPORT
d93464,TRANSFERASE
d93465,TRANSFERASE
d93466,HYDROLASE/HYDROLASE INHIBITOR
d93467,ISOMERASE
d93468,LIGASE
d93469,SIGNALING PROTEIN
d93470,DNA BINDING PROTEIN/DNA
d93471,CHAPERONE
d93472,HYDROLASE
d93473,MEMBRANE PROTEIN
d93474,OXIDOREDUCTASE
d93475,HYDROLASE/HYDROLASE INHIBITOR
d93476,LYASE
d93477,TRANSFERASE
d93478,HYDROLASE
d93479,TRANSFERASE/DNA
d93480,LIPID BINDING PROTEIN
d93481,TRANSCRIPTION
d93482,RNA BINDING PROTEIN/RNA
d93483,CELL CYCLE
d93484,TRANSFERASE
d93485,VIRUS
d93486,TRANSFERASE
d93487,DNA BINDING PROTEIN
d93488,OXIDOREDUCTASE
d93489,RIBOSOME
d93490,SUGAR BINDING PROTEIN
d93491,COMPLEX (HYDROLASE/CYTIDYLIC ACID)
d93492,TRANSPORT PROTEIN
d93493,TRANSFERASE
d93494,IMMUNE SYSTEM/SIGNALING PROTEIN
d93495,TRANSPORT PROTEIN
d93496,HYDROLASE
d93497,DNA BINDING PROTEIN
d93498,HYDROLASE
d93499,HYDROLASE/DNA/RNA
d93500,DNA
d93501,CELL CYCLE
d93502,LIPID BINDING PROTEIN
d93503,TRANSFERASE/RNA
d93504,transferase/transferase inhibitor
d93505,TRANSFERASE
d93506,TOXIN
d93507,HYDROLASE
d93508,Hydrolase/Hydrolase Inhibitor
d93509,METAL BINDING PROTEIN
d93510,TRANSCRIPTION/DNA
d93511,VIRAL PROTEIN/SIGNALING PROTEIN
d93512,SIGNALING PROTEIN
d93513,Oxidoreductase
d93514,HYDROLASE
d93515,DNA
d93516,TRANSFERASE
d93517,STRUCTURAL PROTEIN
d93518,HYDROLASE
d93519,STRUCTURAL PROTEIN/DNA
d93520,structural genomics
d93521,TRANSFERASE
d93522,SIGNALING PROTEIN/INHIBITOR
d93523,TRANSLATION
d93524,OXIDOREDUCTASE
d93525,TRANSPORT PROTEIN
d93526,LIGASE
d93527,TRANSFERASE
d93528,IMMUNE SYSTEM
d93529,TRANSLATION
d93530,transcription regulator
d93531,HYDROLASE
d93532,TRANSPORT PROTEIN
d93533,ISOMERASE
d93534,TRANSFERASE
d93535,LYASE
d93536,TRANSFERASE
d93537,METAL BINDING PROTEIN
d93538,EXOCYTOSIS
d93539,HYDROLASE
d93540,TRANSPORT PROTEIN
d93541,ISOMERASE
d93542,HYDROLASE/HYDROLASE INHIBITOR
d93543,HYDROLASE
d93544,BIOSYNTHETIC PROTEIN
d93545,RIBOSOME
d93546,HYDROLASE/HYDROLASE INHIBITOR
d93547,LYASE
d93548,RNA
d93549,CALCIUM-BINDING PROTEIN
d93550,OXIDOREDUCTASE
d93551,RIBOSOME
d93552,TRANSCRIPTION
d93553,TRANSPORT PROTEIN
d93554,TRANSFERASE
d93555,IMMUNE SYSTEM
d93556,TRANSCRIPTION
d93557,POLYMERASE
d93558,OXIDOREDUCTASE
d93559,TRANSCRIPTION
d93560,TRANSFERASE
d93561,COMPLEX (PEPTIDE TRANSPORT/PEPTIDE)
d93562,HYBRID PROTEIN
d93563,SIGNALING PROTEIN
d93564,TRANSCRIPTION
d93565,OXIDOREDUCTASE
d93566,CELL ADHESION/IMMUNE SYSTEM
d93567,UNKNOWN FUNCTION
d93568,IMMUNE SYSTEM
d93569,TRANSFERASE
d93570,HYDROLASE
d93571,Hydrolase Inhibitor
d93572,TRANSFERASE
d93573,HYDROLASE
d93574,Carotenoid binding protein
d93575,HYDROLASE
d93576,SIGNALING PROTEIN
d93577,HORMONE
d93578,TRANSCRIPTION
d93579,STRUCTURAL PROTEIN
d93580,Hydrolase/DNA
d93581,MEMBRANE PROTEIN
d93582,OXIDOREDUCTASE
d93583,STRUCTURAL PROTEIN
d93584,HYDROLASE
d93585,STRUCTURAL PROTEIN/DNA
d93586,VIRAL PROTEIN
d93587,de novo protein
d93588,TRANSFERASE
d93589,LYASE
d93590,OXIDOREDUCTASE
d93591,OXIDOREDUCTASE
d93592,ALPHA-AMYLASE INHIBITOR
d93593,PLANT PROTEIN
d93594,HYDROLASE
d93595,TRANSCRIPTION
d93596,HORMONE
d93597,TOXIN
d93598,CELL CYCLE
d93599,LYASE (OXO-ACID)
d93600,TRANSPORT PROTEIN
d93601,OXIDOREDUCTASE
d93602,HYDROLASE/HYDROLASE INHIBITOR
d93603,OXIDOREDUCTASE
d93604,TRANSPORT PROTEIN
d93605,LYASE
d93606,HYDROLASE
d93607,LYASE/LYASE INHIBITOR
d93608,SIGNAL TRANSDUCTION
d93609,TRANSFERASE/DNA
d93610,ISOMERASE
d93611,HYDROLASE
d93612,OXIDOREDUCTASE
d93613,VIRAL PROTEIN
d93614,TRANSCRIPTION
d93615,SIGNALING PROTEIN/PEPTIDE
d93616,HYDROLASE
d93617,OXIDOREDUCTASE
d93618,DNA
d93619,TRANSFERASE
d93620,OXIDOREDUCTASE
d93621,LIPID BINDING PROTEIN
d93622,TRANSCRIPTION/DNA
d93623,METAL BINDING PROTEIN
d93624,TRANSCRIPTION
d93625,TRANSFERASE/TRANSFERASE INHIBITOR
d93626,TRANSPORT PROTEIN
d93627,HYDROLASE
d93628,TRANSFERASE
d93629,LYASE
d93630,OXIDOREDUCTASE
d93631,HYDROLASE
d93632,HYDROLASE
d93633,LYASE
d93634,TRANSFERASE/PEPTIDE
d93635,VIRAL PROTEIN
d93636,LIGASE/DNA-BINDING PROTEIN/DNA
d93637,HYDROLASE
d93638,STRUCTURAL GENOMICS
d93639,HYDROLASE
d93640,IMMUNE SYSTEM
d93641,HYDROLASE
d93642,VIRAL PROTEIN
d93643,TRANSFERASE
d93644,TRANSFERASE
d93645,TRANSPORT PROTEIN
d93646,TRANSFERASE
d93647,ELECTRON TRANSPORT
d93648,LUMINESCENT PROTEIN
d93649,CELL ADHESION
d93650,TRANSFERASE
d93651,SIGNALING PROTEIN
d93652,TRANSFERASE
d93653,TRANSFERASE/TRANSFERASE INHIBITOR
d93654,RNA BINDING PROTEIN/RNA
d93655,RIBOSOME
d93656,IMMUNE SYSTEM
d93657,TRANSFERASE/TRANSFERASE INHIBITOR
d93658,PROTEIN BINDING
d93659,HYDROLASE
d93660,SIGNALING PROTEIN
d93661,DNA
d93662,HYDROLASE/HYDROLASE INHIBITOR
d93663,SPLICING/RNA
d93664,hydrolase/hydrolase inhibitor
d93665,DNA BINDING PROTEIN
d93666,HYDROLASE
d93667,OXIDOREDUCTASE
d93668,OXIDOREDUCTASE
d93669,OXIDOREDUCTASE
d93670,ELECTRON TRANSPORT
d93671,ISOMERASE
d93672,OXYGEN STORAGE
d93673,HYDROLASE
d93674,TRANSFERASE
d93675,HYDROLASE/DNA
d93676,HYDROLASE
d93677,FLUORESCENT PROTEIN
d93678,TRANSFERASE
d93679,DE NOVO PROTEIN
d93680,TRANSFERASE
d93681,TRANSFERASE
d93682,ISOMERASE
d93683,Actin Binding Protein
d93684,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d93685,IMMUNE SYSTEM
d93686,DNA
d93687,OXIDOREDUCTASE
d93688,TRANSFERASE
d93689,TRANSFERASE
d93690,UNKNOWN FUNCTION
d93691,TRANSPORT PROTEIN
d93692,hydrolase/DNA
d93693,OXIDOREDUCTASE
d93694,HYDROLASE
d93695,OXIDOREDUCTASE
d93696,HYDROLASE (C-TERMINAL PEPTIDASE)
d93697,CYTOKINE
d93698,IMMUNE SYSTEM
d93699,STRUCTURAL PROTEIN
d93700,BINDING PROTEIN
d93701,HYDROLASE/HYDROLASE INHIBITOR
d93702,Folate Binding Protein
d93703,CELL ADHESION
d93704,transcription regulator
d93705,HYDROLASE
d93706,RIBOSOME
d93707,DNA
d93708,CELL INVASION/INHIBITOR
d93709,ISOMERASE
d93710,HYDROLASE
d93711,CHAPERONE
d93712,HYDROLASE
d93713,TRANSFERASE
d93714,HYDROLASE
d93715,TRANSFERASE
d93716,RACEMASE
d93717,VIRAL PROTEIN
d93718,STRUCTURAL GENOMICS
d93719,DNA
d93720,TRANSFERASE
d93721,LYASE
d93722,IMMUNOGLOBULIN
d93723,UNKNOWN FUNCTION
d93724,CHAPERONE
d93725,SIGNALING PROTEIN
d93726,OXIDOREDUCTASE
d93727,DNA BINDING PROTEIN
d93728,LYASE
d93729,HYDROLASE
d93730,BIOTIN BINDING PROTEIN
d93731,TRANSFERASE/TRANSFERASE INHIBITOR
d93732,HYDROLASE/HYDROLASE INHIBITOR
d93733,SURFACE ACTIVE PROTEIN
d93734,RIBOSOME
d93735,HYDROLASE/RNA
d93736,ENDOCYTOSIS/EXOCYTOSIS
d93737,CHAPERONE
d93738,MOTOR PROTEIN
d93739,TRANSFERASE
d93740,CELL ADHESION
d93741,PLANT PROTEIN
d93742,IMMUNE SYSTEM
d93743,OXIREDUCTASE/OXIREDUCTASE INHIBITOR
d93744,VIRAL PROTEIN
d93745,SIGNALING PROTEIN
d93746,HYDROLASE/HYDROLASE INHIBITOR
d93747,METAL BINDING PROTEIN
d93748,HYDROLASE
d93749,HYDROLASE
d93750,UNKNOWN FUNCTION
d93751,LYASE/LYASE INHIBITOR
d93752,OXIDOREDUCTASE
d93753,TRANSFERASE
d93754,HYDROLASE
d93755,PROTEIN TRANSPORT
d93756,HYDROLASE
d93757,LYASE
d93758,TRANSFERASE/DNA
d93759,MEMBRANE PROTEIN
d93760,TRANSCRIPTION
d93761,HYDROLASE INHIBITOR
d93762,OXIDOREDUCTASE
d93763,TRANSFERASE/TRANSFERASE INHIBITOR
d93764,IMMUNE SYSTEM
d93765,RNA
d93766,HYDROLASE
d93767,TRANSFERASE
d93768,TRANSFERASE
d93769,DNA BINDING PROTEIN
d93770,DNA
d93771,OXIDOREDUCTASE
d93772,DNA
d93773,HYDROLASE
d93774,DEHYDROGENASE
d93775,STEROID BINDING PROTEIN/TRANSCRIPTION
d93776,LIGASE
d93777,OXIDOREDUCTASE
d93778,TRANSPORT PROTEIN
d93779,ISOMERASE
d93780,CELL CYCLE
d93781,TRANSLATION
d93782,HYDROLASE
d93783,OXIDOREDUCTASE
d93784,TRANSFERASE
d93785,TRANSPORT PROTEIN
d93786,ISOMERASE
d93787,TRANSFERASE ACTIVATOR/TRANSFERASE
d93788,LYASE
d93789,IMMUNE SYSTEM
d93790,STRUCTURAL PROTEIN
d93791,TRANSFERASE
d93792,HYDROLASE
d93793,DNA BINDING PROTEIN/DNA
d93794,SYNTHASE
d93795,LYASE
d93796,OXIDOREDUCTASE
d93797,OXIDOREDUCTASE
d93798,BIOSYNTHETIC PROTEIN
d93799,HYDROLASE
d93800,SIGNALING PROTEIN/PEPTIDE
d93801,RIBOSOME
d93802,SUGAR BINDING PROTEIN
d93803,HYDROLASE
d93804,DNA BINDING PROTEIN
d93805,HYDROLASE/INHIBITOR
d93806,ENDORIBONUCLEASE
d93807,TRANSFERASE/DNA
d93808,TOXIN
d93809,OXIDOREDUCTASE
d93810,HYDROLASE
d93811,ACTIN-BINDING PROTEIN
d93812,transferase/transferase inhibitor
d93813,TRANSPORT PROTEIN
d93814,IMMUNE SYSTEM
d93815,HYDROLASE (O-GLYCOSYL)
d93816,RIBOSOME
d93817,LYASE
d93818,TRANSCRIPTION
d93819,PLANT PROTEIN
d93820,STRUCTURAL GENOMICS
d93821,HYDROLASE/HYDROLASE INHIBITOR
d93822,TRANSFERASE
d93823,SIGNALING PROTEIN
d93824,HYDROLASE/HYDROLASE inhibitor
d93825,STRUCTURAL GENOMICS
d93826,TRANSPORT PROTEIN
d93827,STRUCTURAL GENOMICS
d93828,UNKNOWN FUNCTION
d93829,RECOMBINATION/DNA
d93830,SIGNALING PROTEIN
d93831,TRANSFERASE
d93832,HYDROLASE
d93833,HYDROLASE
d93834,HYDROLASE
d93835,SUGAR BINDING PROTEIN
d93836,OXIDOREDUCTASE/ELECTRON TRANSPORT
d93837,OXIDOREDUCTASE
d93838,PROTEIN BINDING
d93839,IMMUNE SYSTEM
d93840,TRANSFERASE/RNA
d93841,TRANSFERASE
d93842,METAL BINDING PROTEIN
d93843,PLANT PROTEIN
d93844,SUGAR BINDING PROTEIN
d93845,TRANSFERASE
d93846,HYDROLASE
d93847,OXIDOREDUCTASE
d93848,dna binding protein/dna
d93849,TRANSFERASE
d93850,LYASE
d93851,OXIDOREDUCTASE/OXIDOREDUCTASE Inhibitor
d93852,HYDROLASE
d93853,TRANSFERASE
d93854,ANTIBIOTIC/IMMUNE SYSTEM
d93855,OXIDOREDUCTASE
d93856,ISOMERASE/VIRAL PROTEIN
d93857,VIRAL PROTEIN
d93858,HYDROLASE
d93859,ISOMERASE
d93860,Isomerase/Viral protein
d93861,CELL ADHESION
d93862,OXIDOREDUCTASE
d93863,LYASE
d93864,TRANSFERASE
d93865,VIRUS
d93866,TRANSFERASE
d93867,DNA BINDING PROTEIN
d93868,OXIDOREDUCTASE
d93869,OXIDOREDUCTASE
d93870,REGULATORY PROTEIN
d93871,OXIDOREDUCTASE
d93872,CELL ADHESION
d93873,TRANSFERASE
d93874,IMMUNE SYSTEM
d93875,CHAPERONE
d93876,RIBOSOME/ANTIBIOTIC
d93877,HYDROLASE/PEPTIDE
d93878,LYASE
d93879,RNA
d93880,RIBOSOME
d93881,STRUCTURAL GENOMICS
d93882,TRANSFERASE
d93883,HYDROLASE
d93884,OXIDOREDUCTASE
d93885,HYDROLASE
d93886,UNKNOWN FUNCTION
d93887,OXIDOREDUCTASE
d93888,OXIDOREDUCTASE
d93889,TRANSCRIPTION
d93890,TRANSPORT
d93891,TRANSFERASE
d93892,OXIDOREDUCTASE
d93893,RNA BINDING PROTEIN
d93894,RNA
d93895,hormone receptor
d93896,calcium-binding protein
d93897,HYDROLASE
d93898,TRANSCRIPTION
d93899,TRANSFERASE
d93900,DNA
d93901,TRANSFERASE
d93902,SUGAR BINDING PROTEIN
d93903,TRANSFERASE
d93904,TRANSFERASE
d93905,TRANSCRIPTION
d93906,OXIDOREDUCTASE
d93907,PROTEIN BINDING
d93908,OXIDOREDUCTASE
d93909,HYDROLASE/HYDROLASE INHIBITOR
d93910,IMMUNE SYSTEM
d93911,HYDROLASE
d93912,TRANSFERASE/TRANSFERASE INHIBITOR
d93913,ISOMERASE
d93914,CELL ADHESION
d93915,TOXIN
d93916,IMMUNE SYSTEM
d93917,HYDROLASE/HYDROLASE INHIBITOR
d93918,OXIDOREDUCTASE
d93919,TRANSCRIPTION
d93920,FLUORESCENT PROTEIN
d93921,HYDROLASE
d93922,TRANSPORT PROTEIN
d93923,HYDROLASE/HYDROLASE INHIBITOR
d93924,TRANSPORT PROTEIN
d93925,HYDROLASE
d93926,SIGNAL TRANSDUCTION PROTEIN
d93927,HYDROLASE/INHIBITOR
d93928,TRANSFERASE
d93929,HISTOCOMPATIBILITY COMPLEX
d93930,TRANSCRIPTION
d93931,HYDROLASE
d93932,TRANSFERASE/TRANSFERASE INHIBITOR
d93933,TRANSCRIPTION/TRANSCRIPTION INHIBITOR
d93934,TRANSFERASE ACTIVATOR/TRANSFERASE
d93935,HYDROLASE
d93936,RNA BINDING PROTEIN
d93937,HYDROLASE
d93938,HYDROLASE
d93939,HYDROLASE
d93940,LYASE
d93941,TRANSFERASE
d93942,TRANSLATION
d93943,TRANSPORT PROTEIN
d93944,HYDROLASE/PROTEIN BINDING
d93945,HYDROLASE
d93946,HYDROLASE
d93947,HYDROLASE/HYDROLASE INHIBITOR
d93948,VIRAL PROTEIN
d93949,OXIDOREDUCTASE
d93950,HYDROLASE/HYDROLASE INHIBITOR
d93951,TRANSFERASE/DNA
d93952,IMMUNE SYSTEM
d93953,STRUCTURAL PROTEIN
d93954,OXIDOREDUCTASE
d93955,CELLULOSE DEGRADATION
d93956,LYASE
d93957,TRANSLATION
d93958,HYDROLASE/HYDROLASE INHIBITOR
d93959,TRANSFERASE
d93960,TRANSCRIPTION
d93961,TRANSFERASE
d93962,ENDONUCLEASE
d93963,HYDROLASE
d93964,TRANSFERASE
d93965,TRANSCRIPTION/TRANSCRIPTION INHIBITOR
d93966,HYDROLASE
d93967,CARBON-OXYGEN LYASE
d93968,TRANSCRIPTION/DNA
d93969,LYASE
d93970,LYASE
d93971,OXIDOREDUCTASE
d93972,TOXIN
d93973,HYDROLASE
d93974,LIGASE
d93975,TRANSFERASE
d93976,OXIDOREDUCTASE(FLAVOPROTEIN)
d93977,TRANSFERASE
d93978,PEPTIDE TOXIN
d93979,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d93980,TRANSFERASE
d93981,transferase/transferase inhibitor
d93982,TRANSCRIPTION
d93983,OXIDOREDUCTASE
d93984,OXIDOREDUCTASE/ELECTRON TRANSPORT
d93985,OXIDOREDUCTASE(CHNH2(D)-DEAMINATING)
d93986,TRANSPORT PROTEIN
d93987,STRUCTURAL PROTEIN
d93988,TRANSCRIPTION REGULATOR
d93989,CELLULOSE DEGRADATION
d93990,BLOOD CLOTTING
d93991,RNA
d93992,RIBOSOME
d93993,OXIDOREDUCTASE
d93994,OXIDOREDUCTASE
d93995,HYDROLASE
d93996,OXYGEN TRANSPORT
d93997,LYASE
d93998,OXIDOREDUCTASE
d93999,HYDROLASE
d94000,HYDROLASE
d94001,HYDROLASE
d94002,TRANSFERASE
d94003,METAL TRANSPORT
d94004,DNA BINDING PROTEIN
d94005,STRUCTURAL PROTEIN
d94006,GENE REGULATORY PROTEIN
d94007,TRANSFERASE
d94008,TRANSFERASE
d94009,UNKNOWN FUNCTION
d94010,STRUCTURAL GENOMICS
d94011,PLASMINOGEN ACTIVATION
d94012,HYDROLASE
d94013,OXIDOREDUCTASE
d94014,TRANSFERASE
d94015,HYDROLASE
d94016,OXIDOREDUCTASE
d94017,HYDROLASE
d94018,PROTEIN BINDING
d94019,ISOMERASE
d94020,ELECTRON TRANSPORT
d94021,STRUCTURAL PROTEIN
d94022,COMPLEX (BLOOD COAGULATION/PROENZYME)
d94023,RNA
d94024,TRANSFERASE
d94025,MEMBRANE PROTEIN
d94026,STRUCTURAL PROTEIN
d94027,ELECTRON TRANSPORT
d94028,IMMUNE SYSTEM
d94029,CELLULOSE DEGRADATION
d94030,STRUCTURAL GENOMICS UNKNOWN FUNCTION
d94031,OXIDOREDUCTASE
d94032,OXIDOREDUCTASE
d94033,LYASE
d94034,TRANSCRIPTION
d94035,TRANSLATION
d94036,HYDROLASE/TRANSCRIPTION
d94037,DE NOVO PROTEIN
d94038,HYDROLASE
d94039,TRANSFERASE/INHIBITOR
d94040,CYTOKINE
d94041,CELL CYCLE
d94042,TRANSPORT PROTEIN
d94043,PROTEIN TRANSPORT
d94044,RIBOSOME
d94045,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d94046,HYDROLASE
d94047,TRANSFERASE/DNA
d94048,TRANSLATION/RNA
d94049,HYDROLASE
d94050,SWEET TASTING PROTEIN
d94051,HYDROLASE
d94052,HYDROLASE
d94053,TRANSPORT PROTEIN
d94054,STRUCTURAL GENOMICS
d94055,CELL CYCLE
d94056,TRANSFERASE
d94057,OXIDOREDUCTASE
d94058,SIGNALING PROTEIN
d94059,TRANSFERASE
d94060,TRANSLATION
d94061,OXIDOREDUCTASE
d94062,IMMUNE SYSTEM/SIGNALING PROTEIN
d94063,TRANSCRIPTION
d94064,HORMONE RECEPTOR
d94065,VIRAL PROTEIN
d94066,DNA
d94067,LIGASE
d94068,VIRAL PROTEIN
d94069,HYDROLASE/HYDROLASE INHIBITOR
d94070,HYDROLASE
d94071,PLANT PROTEIN
d94072,Hydrolase/Hydrolase Inhibitor
d94073,CELL ADHESION
d94074,LIGASE/LIGASE inhibitor
d94075,TRANSFERASE/TRANSFERASE INHIBITOR
d94076,RNA
d94077,HYDROLASE
d94078,Transferase
d94079,OXIDOREDUCTASE
d94080,CELL CYCLE
d94081,CHAPERONE/CHAPERONE INHIBITOR
d94082,HYDROLASE
d94083,PROTEIN FIBRIL
d94084,TRANSFERASE
d94085,HORMONE RECEPTOR
d94086,HYDROLASE
d94087,ISOMERASE
d94088,CYTOKINE
d94089,PERIPLASMIC BINDING PROTEIN
d94090,LIGASE
d94091,IMMUNE SYSTEM
d94092,LIPOPROTEIN
d94093,HYDROLASE
d94094,HYDROLASE
d94095,TRANSCRIPTION REGULATOR
d94096,HYDROLASE
d94097,PEPTIDE BINDING PROTEIN
d94098,TRANSCRIPTION
d94099,HYDROLASE (SERINE PROTEASE)
d94100,HYDROLASE
d94101,TRANSFERASE
d94102,LYASE
d94103,HYDROLASE
d94104,HYDROLASE
d94105,OUTER MEMBRANE PROTEIN
d94106,Transcription regulator
d94107,VIRAL PROTEIN
d94108,MEMBRANE PROTEIN
d94109,CHAPERONE
d94110,CHAPERONE
d94111,LIGASE
d94112,ION TRANSPORT
d94113,HYDROLASE
d94114,TRANSFERASE
d94115,DNA
d94116,ELECTRON TRANSPORT
d94117,HYDROLASE
d94118,HYDROLASE
d94119,HYDROLASE
d94120,RECEPTOR
d94121,SUGAR BINDING PROTEIN
d94122,Transcription
d94123,OXIDOREDUCTASE
d94124,HYDROLASE
d94125,HYDROLASE
d94126,RNA BINDING PROTEIN
d94127,TRANSFERASE
d94128,LIGASE
d94129,OXIDOREDUCTASE
d94130,Hydrolase/Hydrolase Inhibitor
d94131,TRANSCRIPTION
d94132,LYASE
d94133,LIGASE
d94134,TRANSFERASE
d94135,OXIDOREDUCTASE
d94136,TRANSFERASE/HYDROLASE
d94137,RIBOSOME
d94138,HYDROLASE/DNA
d94139,VIRAL PROTEIN
d94140,TRANSFERASE
d94141,VIRAL PROTEIN
d94142,CHAPERONE/SURFACE ACTIVE PROTEIN
d94143,REPLICATION/DNA
d94144,COMPLEX (SERINE PROTEASE/INHIBITOR)
d94145,ISOMERASE
d94146,ISOMERASE
d94147,HYDROLASE
d94148,TRANSPORT PROTEIN
d94149,TRANSFERASE
d94150,RIBOSOME
d94151,TRANSFERASE
d94152,TRANSCRIPTION REGULATOR
d94153,HYDROLASE
d94154,TRANSFERASE
d94155,IMMUNE SYSTEM
d94156,STRUCTURAL PROTEIN/DNA
d94157,TRANSFERASE
d94158,RIBOSOME
d94159,LIPID BINDING PROTEIN
d94160,VIRAL PROTEIN
d94161,IMMUNE SYSTEM/DNA
d94162,TRANSFERASE
d94163,TRANSCRIPTION
d94164,PROTEIN BINDING
d94165,HYDROLASE
d94166,IMMUNE SYSTEM
d94167,TRANSFERASE/TRANSFERASE INHIBITOR
d94168,DNA
d94169,MEMBRANE PROTEIN
d94170,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d94171,GENE REGULATION
d94172,ELECTRON TRANSPORT
d94173,TRANSFERASE
d94174,METAL BINDING PROTEIN
d94175,ISOMERASE
d94176,HYDROLASE
d94177,OXIDOREDUCTASE
d94178,DNA
d94179,HYDROLASE
d94180,HYDROLASE
d94181,TRANSPORT PROTEIN
d94182,TRANSPORT PROTEIN
d94183,OXIDOREDUCTASE
d94184,OXIDOREDUCTASE
d94185,DNA BINDING PROTEIN
d94186,OXIDOREDUCTASE
d94187,OXIDOREDUCTASE
d94188,Hydrolase/DNA
d94189,HYDROLASE
d94190,TRANSFERASE
d94191,SUGAR BINDING PROTEIN
d94192,HYDROLASE
d94193,SUGAR BINDING PROTEIN
d94194,PROTEIN BINDING
d94195,OXIDOREDUCTASE
d94196,ISOMERASE
d94197,structural genomics
d94198,RIBOSOMAL PROTEIN/RNA
d94199,IMMUNE SYSTEM
d94200,MEMBRANE PROTEIN
d94201,TRANSPORT PROTEIN
d94202,HYDROLASE/HYDROLASE INHIBITOR
d94203,MEMBRANE PROTEIN
d94204,TRANSFERASE
d94205,TRANSFERASE
d94206,OXIDOREDUCTASE
d94207,RNA
d94208,IMMUNE SYSTEM
d94209,PROTEIN BINDING
d94210,DNA BINDING PROTEIN
d94211,TRANSCRIPTION/DNA
d94212,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d94213,ISOMERASE
d94214,OXIDOREDUCTASE
d94215,TRANSFERASE
d94216,PROTEIN BINDING
d94217,TRANSFERASE
d94218,TRANSFERASE/DNA
d94219,ELECTRON TRANSPORT
d94220,TRANSCRIPTION
d94221,TRANSFERASE
d94222,SUGAR BINDING PROTEIN
d94223,OXIDOREDUCTASE
d94224,TRANSPORT PROTEIN
d94225,HYDROLASE
d94226,HYDROLASE
d94227,OXIDOREDUCTASE
d94228,LYASE
d94229,HYDROLASE
d94230,SIGNALING PROTEIN
d94231,TRANSFERASE
d94232,PROTEIN BINDING
d94233,HYDROLASE
d94234,CALCIUM BINDING PROTEIN
d94235,TRANSFERASE/TRANSFERASE INHIBITOR
d94236,STRUCTURAL PROTEIN
d94237,ALLERGEN
d94238,HYDROLASE/RNA
d94239,TRANSCRIPTION
d94240,ISOMERASE
d94241,ODORANT-BINDING PROTEIN
d94242,DNA
d94243,TRANSPORT PROTEIN
d94244,SIGNALING PROTEIN
d94245,TRANSFERASE
d94246,HYDROLASE
d94247,SIGNALING PROTEIN
d94248,OXIDOREDUCTASE
d94249,TRANSPORT(THYROXINE)
d94250,OXIDOREDUCTASE
d94251,TRANSFERASE
d94252,ISOMERASE
d94253,TRANSCRIPTION/INHIBITOR
d94254,Hydrolase/Hydrolase Inhibitor
d94255,SIGNALING PROTEIN
d94256,DNA BINDING PROTEIN
d94257,SIGNALING PROTEIN
d94258,TRANSFERASE/TRANSFERASE INHIBITOR
d94259,ISOMERASE
d94260,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d94261,SIGNALING PROTEIN
d94262,IMMUNE SYSTEM
d94263,RNA
d94264,DNA BINDING PROTEIN
d94265,PROTEIN TRANSPORT
d94266,PLANT PROTEIN
d94267,CHAPERONE
d94268,OXIDOREDUCTASE
d94269,STRUCTURAL GENOMICS
d94270,HYDROLASE/HYDROLASE INHIBITOR
d94271,PROTEIN BINDING
d94272,DNA
d94273,VIRAL PROTEIN
d94274,TRANSFERASE
d94275,CELL ADHESION/IMMUNE SYSTEM/PEPTIDE
d94276,ISOMERASE
d94277,OXIDOREDUCTASE
d94278,RIBOSOME
d94279,SIGNALING PROTEIN
d94280,OXIDOREDUCTASE
d94281,Hydrolase/hydrolase inhibitor
d94282,IMMUNE SYSTEM
d94283,TRANSFERASE
d94284,RIBOSOME
d94285,STRUCTURAL GENOMICS
d94286,PEPTIDE
d94287,SIGNALING PROTEIN
d94288,LYASE(OXO-ACID)
d94289,STRUCTURAL PROTEIN
