structureId,experimentalTechnique,macromoleculeType,residueCount,resolution,structureMolecularWeight,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,pdbxDetails,phValue,publicationYear,
2BG2,X-RAY DIFFRACTION,Protein,454,2.4,52786.47,,,2.1,42,"PROTEIN WAS CRYSTALLISED USING HANGING DROP VAPOR DIFFUSION. RESERVOIR SOLUTION CONTAINED 100MM TRIS AT PH4.5-5, 70-75% AMMONIUM SULPHATE, 1MM DTT OR 1MM DTT AND 1MM TCEP-HCL, 2MM ZNSO4 AND 0.1% AZIDE. PROTEIN CONCENTRATION OF 2.7 MG/ML. DROPS WERE KEPT AT 291K AND WERE STREAK SEEDED FROM A WILD TYPE CRYSTAL AFTER 1 DAY., pH 4.50",4.5,2005,
4BXK,X-RAY DIFFRACTION,Protein,1258,2.2,150565.84,,,2.95,58,"0.06 M DIVALENT CATIONS, 0.1 M TRIS/BICINE PH 8.5, 30 % PEG550MME/PEG20000",8.5,2014,
5DXH,X-RAY DIFFRACTION,Protein,2472,3,291292.53,"VAPOR DIFFUSION, HANGING DROP",293,3.4,63.85,PEG 20000,,2016,
3TII,X-RAY DIFFRACTION,Protein,760,2.5,88661.59,"VAPOR DIFFUSION, HANGING DROP",294,2.22,44.69,"11% Peg3350, 0.1M MES pH 6.0, 1mM AMPPNP, 5mM MgCl2, VAPOR DIFFUSION, HANGING DROP, temperature 294K",,2011,
1B3P,SOLUTION NMR,DNA,14,,4404.94,,,,,,,1999,
3FDB,X-RAY DIFFRACTION,Protein,377,1.99,43134.46,"VAPOR DIFFUSION, SITTING DROP",277,3.51,64.98,"0.2000M MgCl2, 10.0000% PEG-3000, 0.1M Cacodylate pH 6.5, NANODROP, VAPOR DIFFUSION, SITTING DROP, temperature 277K",6.5,,
5COE,X-RAY DIFFRACTION,Protein,366,2.18,42582.85,"VAPOR DIFFUSION, HANGING DROP",293,2.27,45.78,"19% PEG 4000, 200 mM Na Acetate, 150 mM Tris",,2015,
2N0K,SOLUTION NMR,Protein,178,,20400.99,,,,,,,2015,
1P7Z,X-RAY DIFFRACTION,Protein,3012,2.21,339439.69,"VAPOR DIFFUSION, HANGING DROP",295,2.11,41.66,"PEG 3350, LiCl, Tris, pH 9.0, VAPOR DIFFUSION, HANGING DROP, temperature 295.0K",9,2003,
2O2F,SOLUTION NMR,Protein,138,,17055.26,,,,,,,2007,
3RTS,X-RAY DIFFRACTION,Protein,158,1.81,17993.82,"VAPOR DIFFUSION, SITTING DROP",298,2.19,43.82,"0.1 M Tris-HCl, 30% PEG6000, 1M LiCl, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 298K",8,2012,
4NED,X-RAY DIFFRACTION,Protein,345,2.1,39125.34,,298,2.6,52.63,"0.01M ZnSO4, 0.1M MES, 25% PEG, Monomethyl Ether 550, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",6.5,,
5AJJ,X-RAY DIFFRACTION,Protein,202,1.75,23505.65,,,1.83,49,1.8 M SODIUM ACETATE AND 0.1 M HEPES PH 6.5,6.5,2015,
1RDB,X-RAY DIFFRACTION,Protein,155,1.9,17622.01,,,1.93,36.33,,,1993,
4Z2H,X-RAY DIFFRACTION,Protein,503,2.35,57197.25,"VAPOR DIFFUSION, HANGING DROP",298,4.23,70.91,"0.1M Hepes-Na pH7.0, 0.8M ammonium sulfate, 5% (v/v) glycerol",7,2015,
4J4W,X-RAY DIFFRACTION,Protein,246,2.66,26976,,,3.86,68.13,,,2013,
3WG4,X-RAY DIFFRACTION,Protein,356,1.6,39601.73,"VAPOR DIFFUSION, HANGING DROP",293,3,59.02,"30% PEG 1500, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.5,2013,
3BIY,X-RAY DIFFRACTION,Protein,380,1.7,45370.24,"VAPOR DIFFUSION, HANGING DROP",293,2.18,43.47,"0.1 M HEPES sodium pH 7.5, 20% w/v polyethylene glycol 4,000, 10% v/v 2-Propanol , VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.5,2008,
1MBR,X-RAY DIFFRACTION,,0,2.7,39310.15,,,2.18,43.61,,,1995,
2B0S,X-RAY DIFFRACTION,Protein,460,2.3,49630.94,"VAPOR DIFFUSION, SITTING DROP",298,2.5,51,"40% PEG 400, 0.2M potassium acetate, VAPOR DIFFUSION, SITTING DROP, temperature 298.0K",,2006,
4XLP,X-RAY DIFFRACTION,Protein#DNA,7544,4,868637.12,"VAPOR DIFFUSION, HANGING DROP",293,6.5,81.07,"ammonium sulfate, magnesium chloride, Tris-HCl",8,2015,
5IWA,X-RAY DIFFRACTION,Protein#RNA,3908,3.5,769656.88,"VAPOR DIFFUSION, HANGING DROP",292,4.85,74.64,"HEPES-KOH, MgCl2, NH4Cl, beta-mercaptoethanol, MPD, spermidine",,2016,
3GE1,X-RAY DIFFRACTION,Protein,2004,2.7,228864.38,,295,2.4,48.74,"2% Glycerol, PEG3350 20%, 0.2M Sodium dihydrogen Phosphate, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",7.5,,
2MQS,SOLUTION NMR,Protein,301,,32744.8,,,,,,,2015,
4ITX,X-RAY DIFFRACTION,Protein,790,1.61,87295.04,"VAPOR DIFFUSION, HANGING DROP",293,2,38.55,"20% PEG400, 0.15M CACL2, 0.1 M HEPES/NAOH (PH 8.2), VAPOR DIFFUSION, HANGING DROP, temperature 293K",8.2,,
4D7B,X-RAY DIFFRACTION,Protein,256,1.15,28363.6,,,2.18,43.6,,,2016,
 TRANSFERASE,3FKO,X-RAY DIFFRACTION,Protein,372,2,43059.46,"VAPOR DIFFUSION, HANGING DROP",290,2.83,56.57,"50 mM Hepes pH 7.6, 50 mM CaCl2, 17% PEG 3350, VAPOR DIFFUSION, HANGING DROP, temperature 290K",7.6,,
3KDC,X-RAY DIFFRACTION,Protein,198,2.2,22516.14,"VAPOR DIFFUSION, HANGING DROP",293,2.69,54.33,"citrate buffer pH 7.2, 100 mM DTT, 3mM NaN3 and 750 mM NaCl, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.2,2010,
 unknown function,3GG7,X-RAY DIFFRACTION,Protein,254,1.5,28973.84,VAPOR DIFFUSION,294,1.91,35.68,"100mM Hepes pH 7.5, 30% MPD, 500mM ammonium sulfate, vapor diffusion, temperature 294K",7.5,,
4Z4V,X-RAY DIFFRACTION,Protein,630,1.8,69736.02,"VAPOR DIFFUSION, HANGING DROP",291,2.52,51.11,"sodium nitrate, bis-tris propane, PEG3350",7.5,2015,
2QYV,X-RAY DIFFRACTION,Protein,974,2.11,111975.05,"VAPOR DIFFUSION, SITTING DROP",277,4.17,70.52,"NANODROP, 2.0M (NH4)2SO4, 5.0% Isopropanol, 0.1M Citrate pH 4.9, VAPOR DIFFUSION, SITTING DROP, temperature 277K",4.9,,
3J7V,ELECTRON MICROSCOPY,Protein,2415,4.6,256127.38,,,,,,,2014,
1D41,X-RAY DIFFRACTION,DNA,12,1.3,3695.1,VAPOR DIFFUSION,,1.66,25.71,"pH 7.00, VAPOR DIFFUSION",7,1990,
2DAT,SOLUTION NMR,Protein,123,,13881.72,,,,,,,,
5JOH,X-RAY DIFFRACTION,Protein,257,1.99,29498.4,"VAPOR DIFFUSION, SITTING DROP",277,3.09,60.21,"Protein solution: 15 mg/ml CSN5 in 50mM NaCl, 50mM Mes/NaOH pH 6.0, 10uM ZnCl2, 0.5 mM TCEP with 1mM ligand Crystallization solution: 35% MPD, 0.2M LiSO4, 0.1 M MES/NaOH pH 6.0",6,2016,
6F0R,X-RAY DIFFRACTION,Protein,1585,2.5,188316.8,EVAPORATION,293,,,"12% PEG4K, 15% glycerol, 100 mM Acetate de Sodium pH4, 400 mM Sodium isothiocyanate, 3% DMSO",,2017,
1JCY,X-RAY DIFFRACTION,Protein,534,1.9,60434.8,"VAPOR DIFFUSION, HANGING DROP",278,2.75,55.25,"100 mM Na-acetate, 6% PEG 4000, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 278K",4.8,2001,
 UNKNOWN FUNCTION,1YBP,X-RAY DIFFRACTION,,914,2.4,104777.36,"VAPOR DIFFUSION, SITTING DROP",298,3.2,61,"PEG 4000, Ammonium acetate, Sodium citrate, pH 5.8, VAPOR DIFFUSION, SITTING DROP, temperature 298K",5.8,,
4CZY,X-RAY DIFFRACTION,Protein,1566,3.4,179029.75,,,3.7,67,"7% PEG 4000, 13% GLYCEROL, 0.1M MES/IMIDAZOLE (PH 6.5), 30MM SODIUM NITRATE, 30MM DI-SODIUM HYDROGEN PHOSPHATE, 30MM AMMONIUM SULFATE",6.5,2014,
1V2G,X-RAY DIFFRACTION,Protein,190,2,21854.73,"VAPOR DIFFUSION, HANGING DROP",298,2.49,50.18,"2-[N-morpholino]ethanesulfonic acid, PEGMME5K, Ammonium sulfate, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",6.5,2005,
 LYASE,3E7J,X-RAY DIFFRACTION,Protein,1498,2.1,171684.45,,,2.26,45.55,,,2010,
4IEE,X-RAY DIFFRACTION,Protein,490,1.89,55795.05,"VAPOR DIFFUSION, HANGING DROP",293,2.44,49.57,"100mM Tris, 15% ethanol, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7,2013,
3ZZX,X-RAY DIFFRACTION,Protein,210,1.88,24949.42,,,2.49,50.6,"2.0 M AMMONIUM SULPHATE, 0.1 M SODIUM ACETATE PH 4.6",4.6,2013,
5I0N,X-RAY DIFFRACTION,Protein,556,2.28,64335.43,"VAPOR DIFFUSION, SITTING DROP",295,2.51,51.02,"12.5% w/v PEG 1000, 12.5% w/v PEG 3350, 12.5% v/v MPD, 0.1 M bicine/Trizma base pH 8.5",,,
4YC0,X-RAY DIFFRACTION,Protein,239,1.5,27241.23,"VAPOR DIFFUSION, HANGING DROP",297.15,2.36,47.96,"30% Jeffamine ED-2001, 0.1 M Hepes",7,2015,
1D3S,X-RAY DIFFRACTION,Protein,184,1.4,20909.15,"VAPOR DIFFUSION, HANGING DROP",298,1.94,36.51,"23% PEG 4000 20 MM SODIUM CITRATE PH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K",5.6,2000,
4OHK,X-RAY DIFFRACTION,Protein,1276,2.8,145703.5,"VAPOR DIFFUSION, HANGING DROP",298,3.05,59.63,".1M Bis-tris, .2M NaI, 16%PEG8000, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7.5,2014,
1WHL,SOLUTION NMR,Protein,95,,10037.23,,,,,,,,
2XBY,X-RAY DIFFRACTION,Protein,296,2.02,33850.9,,,2.37,48,PH 6.5,6.5,2010,
2VE8,X-RAY DIFFRACTION,Protein,584,1.4,63487.38,,,1.6,21,,,2008,
2V5F,X-RAY DIFFRACTION,Protein,110,2.03,12925.48,,,2.63,53.25,"PROTEIN WAS CRYSTALLIZED FROM 1 M NA CITRATE, 100 MM CHES, PH 9.5.",9.5,,
3CMR,X-RAY DIFFRACTION,Protein,898,2.05,94548.76,"VAPOR DIFFUSION, HANGING DROP",298,2.77,55.59,"22% PEG 3350, 0.2 M sodium citrate, 1 mM magnesium chloride, 5 mM sodium phosphate, pH 5.8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",5.8,2008,
4PX8,X-RAY DIFFRACTION,Protein,118,1.25,13855.22,VAPOR DIFFUSION,293.15,1.54,20.13,"40% (w/v) polyethylene glycol monomethyl ether 2,000 and 0.15 M KBr, pH 7.5, VAPOR DIFFUSION, temperature 293.15K",7.5,2015,
1YRM,X-RAY DIFFRACTION,DNA/RNA Hybrid,48,2.5,15418.52,"VAPOR DIFFUSION, SITTING DROP",273,2.14,42.65,"MPD, cacodylate, spermidine, strontium chloride, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 273K",8,2005,
5XCJ,X-RAY DIFFRACTION,Protein,386,1.86,43665.92,"VAPOR DIFFUSION, HANGING DROP",289,2.13,42.24,"200 mM Sodium Acetate, 100mM Sodium cacodylate pH 6.5, 30% PEG 8K",6.5,2017,
2WSS,X-RAY DIFFRACTION,Protein,7770,3.2,851827.38,,,3.03,59.47,MICROBATCH UNDER OIL,,2009,
2JA0,X-RAY DIFFRACTION,,326,2.3,38035.96,,,3.53,65,"18% PEG3350, 0.15M KSCN, 10% ETG, 0.1M BTP PH6.5",6.5,,
3F95,X-RAY DIFFRACTION,Protein,386,1.8,42829.04,"VAPOR DIFFUSION, HANGING DROP",291,2.14,42.39,"0.1M MES-NaOH, pH6.5, 25% PEG6000, 0.2M MgCl2, VAPOR DIFFUSION, HANGING DROP, temperature 291.0K",6.5,2011,
3RR4,X-RAY DIFFRACTION,Protein,386,1.68,43419.55,"VAPOR DIFFUSION, HANGING DROP",288,2.2,48.67,"100MM TRIS HCL, 1MM DTT, 10% DMSO,         5% PEG 8000, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 288K",5.5,2012,
3V0R,X-RAY DIFFRACTION,Protein,133,1.9,15572.04,"VAPOR DIFFUSION, HANGING DROP",289,3.76,67.29,"50% saturated ammonium sulfate,  12.5% of additive mixture (saturated solution of 4-hydroxy-2,5,5-triaminopyrimidine, alpha-lipoic acid, caffeine, 8-aminocaprylic acid, threonine, carnitine and quinine HCl), pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 289K",7.5,2012,
1ESD,X-RAY DIFFRACTION,Protein,306,2.3,33082.77,,,3,58.94,,,1995,
3U4L,X-RAY DIFFRACTION,Protein,515,2.4,57338.18,"VAPOR DIFFUSION, HANGING DROP",277,2.05,40.1,"1.3M KPO4, 0.5 mM ATP, 0.2 mM CaCl2, pH 7.3, VAPOR DIFFUSION, HANGING DROP, temperature 277K",7.3,2012,
1L5J,X-RAY DIFFRACTION,Protein,1730,2.4,188135.53,"VAPOR DIFFUSION, HANGING DROP",290,3.57,65.52,"ammonium sulphate, HEPES, cobalt chloride, pH 7.1, VAPOR DIFFUSION, HANGING DROP, temperature 290K",7.1,2002,
5XAX,X-RAY DIFFRACTION,Protein,280,2.9,31675.46,"VAPOR DIFFUSION, SITTING DROP",293,3,59.04,"2.7M Na-malonate, 0.1M Tris-HCl (pH 7.0), 0.5 % (v/v) Tween 20",7,2017,
1XUI,X-RAY DIFFRACTION,Protein,223,1.5,23733.7,,,2.04,11.1,"CRYSTALLIZED IN ABSENCE OF ZN+2, WITH MOTHER LIQUOR SATURATED IN KETO-BABIM., pH 8.2",8.2,1998,
3NOX,X-RAY DIFFRACTION,Protein,1506,2.34,178931.28,"VAPOR DIFFUSION, HANGING DROP",298,2.64,53.38,"CRYSTALS GROWN FROM 2 UL EQUIVOLUME MIXTURE OF PROTEIN SOLUTION (0.1 M NACL, 20 MM TRIS-HCL BUFFER PH 7.8, 9.8 MG/ML PROTEIN) AND CRYSTALLIZATION SOLUTION (17% W/V PEG 3350, 15% W/V GLYCEROL, 200 MM MGCL2, 100 MM TRIS-HCL BUFFER PH 8.5).  SUFFICIENT 100 MM LIGAND STOCK SOLUTION (NEAT DMSO) ADDED TO ACHIEVE 1 MM LIGAND CONCENTRATION. SOAKED OVERNIGHT. HARVESTED DIRECTLY AND CRYO-PRESERVED IN LN2., VAPOR DIFFUSION, HANGING DROP, temperature 298K",8.5,2010,
3WQK,X-RAY DIFFRACTION,Protein,296,2.3,34166.45,,,2.74,55.06,,,2014,
2AHR,X-RAY DIFFRACTION,Protein,1295,2.15,143728.36,"VAPOR DIFFUSION, SITTING DROP",298,2.88,57,"3.5 M sodium formate , pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 298K",7,2005,
1T0D,X-RAY DIFFRACTION,RNA,66,2.2,21140.82,"VAPOR DIFFUSION, HANGING DROP",293.15,2.1,40.5,"Ammonium sulfate, magnesium acetate, cacodylate, pH 6.8, VAPOR DIFFUSION, HANGING DROP, temperature 293.15K",6.8,2004,
1Q9H,X-RAY DIFFRACTION,Protein,437,2.35,47513.29,"VAPOR DIFFUSION, HANGING DROP",291,2.61,52.95,"2.5 M ammonium phosphate, 100 mM Tris-HCl, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",8.5,2004,
1AGN,X-RAY DIFFRACTION,Protein,1492,3,163988.09,,,3.06,59.5,,,1997,
1D2T,X-RAY DIFFRACTION,Protein,231,1.9,25129.16,"VAPOR DIFFUSION, HANGING DROP",293,4.38,71.9,"PEG400, TRIS, HEPES, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",8,2000,
5T0T,X-RAY DIFFRACTION,,230,2.2,27189.66,VAPOR DIFFUSION,290,2.42,49.09,"Mother solution: BIS-TRIS pH5.4, 16% PEG 3350 Protein solution: 12~14 mg/mL in 10 mM TRIS and 50 mM KCl, pH8.0",5.4,2016,
3RWX,X-RAY DIFFRACTION,Protein,261,2.4,29491.75,"VAPOR DIFFUSION, SITTING DROP",293,4.81,74.42,"0.2M potassium sodium tartrate, 2.0M ammonium sulfate, 0.1M sodium citrate pH 5.6, NANODROP, VAPOR DIFFUSION, SITTING DROP, temperature 293K",5.6,,
4RE5,X-RAY DIFFRACTION,Protein,1164,1.9,127561.95,"VAPOR DIFFUSION, HANGING DROP",293,2.24,45.21,"78 mM sodium acetate buffer,  2.4% w/v PEG Mw4000, 6.7mM dithiothreitol and 0.44 mM EDTA. The protein was co-crystallized with the inhibitor., pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",4.5,2015,
1XRE,X-RAY DIFFRACTION,Protein,434,1.8,50329.56,"VAPOR DIFFUSION, HANGING DROP",291,2.2,42.6,"PEG 3350, MgCl2, TRIS, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 291K",8,2005,
4C5O,X-RAY DIFFRACTION,Protein,2856,2.6,318154.22,,,2.8,56,THE RESERVOIR CONTAINED 0.9 M LITHIUM SULPHATE IN 100 MM BIS-TRIS PROPANE BUFFER (PH 5.6). THE PROTEIN CONCENTRATION USED WAS 3 MG ML-1.,5.6,2013,
1AUW,X-RAY DIFFRACTION,Protein,1872,2.5,206948.97,,,2.54,52,"PROTEIN WAS CRYSTALLIZED FROM 18-20% PEG MME 2K, 300 MM MGCL2,100 MM TRIS-HCL PH 8.5",8.5,1997,
 HYDROLASE,1NME,X-RAY DIFFRACTION,Protein,238,1.6,27871.85,,,2.19,43.4,,,2003,
3DTS,X-RAY DIFFRACTION,Protein,855,3.1,104815.81,"VAPOR DIFFUSION, SITTING DROP",293,5.87,79.05,"Potassium phosphate, LDAO, Heptane triol, Dioxane, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",7.5,,
1HZR,SOLUTION NMR,,28,,3184.64,,,,,,,2002,
4LXS,X-RAY DIFFRACTION,Protein,1011,3.3,120807.52,"VAPOR DIFFUSION, HANGING DROP",287,2.84,56.67,"100 mM HEPES, 5% (v/v) propan-2-ol, 10% PEG 4000, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 287K",7.5,2014,
2XW1,X-RAY DIFFRACTION,Protein,1170,2.5,133843.3,,,2.6,53,"SEE PAPER, pH 7",7,2011,
4KEZ,X-RAY DIFFRACTION,Protein,1256,1.85,144009.69,"VAPOR DIFFUSION, HANGING DROP",277,2.4,48.81,"50 mM Tris-HCl, 23-25% PEG8000, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 277K",8,2013,
2VA7,X-RAY DIFFRACTION,Protein,455,2.2,50926.71,,,3.07,51.78,,,2007,
4UOY,X-RAY DIFFRACTION,Protein,1868,2.31,204360.08,,,2.58,52.44,"0.1 M HEPES PH 7.5 15% PEG 3350 0.2 M SODIUM FORMATE 0.1 MM N-DODECYL-N,N-DIMETHYLGLYCINE",7.5,2014,
1VKX,X-RAY DIFFRACTION,Protein#DNA,609,2.9,73234.71,"VAPOR DIFFUSION, HANGING DROP",,3.99,59,"pH 5.50, VAPOR DIFFUSION, HANGING DROP",5.5,1998,
4PT4,X-RAY DIFFRACTION,Protein,198,2.04,21528.53,"VAPOR DIFFUSION, HANGING DROP",293,1.93,36.13,"3M Sodium formate, 0.1M Tris-Cl, pH 8.2, VAPOR DIFFUSION, HANGING DROP, temperature 293K",8.2,2014,
2VZW,X-RAY DIFFRACTION,Protein,298,2.3,34097.95,,,3.91,68.6,"50% TACSIMATE, PH 6.0",6,2008,
3GJ5,X-RAY DIFFRACTION,Protein,510,1.79,57676.57,"VAPOR DIFFUSION, HANGING DROP",295,2.61,52.86,"0.1 Bis-Tris pH 6.5, 18-20% PEG 3350, VAPOR DIFFUSION, HANGING DROP, temperature 295K",6.5,2009,
3JUX,X-RAY DIFFRACTION,Protein,822,3.1,95375.5,"VAPOR DIFFUSION, SITTING DROP",298,2.45,49.83,"0.1M Hepes pH 7.5, 60% MPD, VAPOR DIFFUSION, SITTING DROP, temperature 298K",7.5,2009,
 UNKNOWN FUNCTION,2ASY,SOLUTION NMR,Protein,246,,27767.13,,,,,,,2005,
5X8G,X-RAY DIFFRACTION,Protein,1940,1.9,222107.59,"VAPOR DIFFUSION, HANGING DROP",289,2.99,58.83,"Reservoir solution: 32%(v/v) PEG300, 0.15M sodium cacodylate (pH 6.5), 0.2M Calcium acetate. Protein solution: 2.5mM OSB-NCoA, 16mg/mL protein, 10mM MgCl2. Crystals appeared after 4 days incubation.",6.5,2017,
1IZP,X-RAY DIFFRACTION,Protein,124,1.5,13674.31,"VAPOR DIFFUSION, HANGING DROP",298,2.32,46.61,"ammonium sulfate, sodium chloride, sodium acetate, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",6,2003,
2Q9P,X-RAY DIFFRACTION,Protein,194,1.65,23038.41,"VAPOR DIFFUSION, SITTING DROP",277,1.9,35.4,"30% PEG 8000, 200 mM LiCl, 5 mM MgCl2, 20 mM NaF, 5 mM IP6, pH 4.5, VAPOR DIFFUSION, SITTING DROP, temperature 277K",4.5,2009,
1ME7,X-RAY DIFFRACTION,Protein,503,2.15,56246.62,"VAPOR DIFFUSION, SITTING DROP",293,2.8,56.02,"sodium malonate, Tris, 2-mercaptoethanol, EDTA, glycerol, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",7.5,2002,
3JTG,X-RAY DIFFRACTION,Protein#DNA,135,2.2,22267.64,"VAPOR DIFFUSION, SITTING DROP",295,2.49,50.51,"0.2 M ammonium acetate, 0.01 M magnesium acetate tetrahydrate, 0.05 M sodium cacodylate trihydrate pH 6.5, 25% w/v PEG 8000, VAPOR DIFFUSION, SITTING DROP, temperature 295K",6.5,2010,
4XAQ,X-RAY DIFFRACTION,Protein,1006,2.21,112094.5,VAPOR DIFFUSION,295,2.75,55.2,100mM MES pH 6 + 25% PEG 4K + 200mM Ammonium Sulfate,,2015,
1D5Z,X-RAY DIFFRACTION,Protein,620,2,72862.93,,,2.7,54.38,pH 7.4,7.4,2000,
3FZ3,X-RAY DIFFRACTION,Protein,3186,2.4,366076.28,"VAPOR DIFFUSION, HANGING DROP",295,2.58,52.3,"0.1 M Tris Hydrochloride pH 8.5, 2M Ammonium Sulfate, vapor diffusion, hanging drop, temperature 295K",8.5,2009,
2KMM,SOLUTION NMR,Protein,73,,8123.25,,,,,,,,
 GENE REGULATION,2HBJ,X-RAY DIFFRACTION,Protein,410,2.1,47675.12,"VAPOR DIFFUSION, SITTING DROP",277,2.94,58.2,"12-14% PEG 20000, 0.1M Mes or Hepes, pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 277K",7,2006,
1SAU,X-RAY DIFFRACTION,Protein,115,1.12,13498.66,,277,1.8,31.23,"TRIS, MPD, pH 9.5, VAPOR DIFFUSION, HANGING DROP, temperature 277K, pH 9.50",9.5,2004,
3MTH,X-RAY DIFFRACTION,Protein,102,1.9,11929.12,,,1.99,38.09,,,1995,
3P9R,X-RAY DIFFRACTION,Protein,3012,1.9,339583.31,"VAPOR DIFFUSION, HANGING DROP",293,2.14,42.5,"17% PEG3350, 1.6 M LiCl, 0.1 M Tris, pH 9.0, vapor diffusion, hanging drop, temperature 293K",9,2011,
5GHP,X-RAY DIFFRACTION,Protein,312,1.19,36045.14,"VAPOR DIFFUSION, HANGING DROP",293,1.87,34.17,"Sodium citrate, Sodium cacodylate, NaCl",6.5,2017,
2GA6,X-RAY DIFFRACTION,Protein,3648,2.7,390460.19,"VAPOR DIFFUSION, HANGING DROP",291,2.7,54.38,"NaCl, MES, Na(K)H2PO4, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",6.5,2006,
4OBT,X-RAY DIFFRACTION,Protein,514,1.6,54978.64,"VAPOR DIFFUSION, HANGING DROP",294,2.67,53.95,"pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 294K",7.4,2016,
3HYR,X-RAY DIFFRACTION,Protein,810,2.2,89704.55,"VAPOR DIFFUSION, HANGING DROP",293,2.16,43.07,"30% PEG 400, 100mM MgCl2, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",6.5,2009,
2FHO,SOLUTION NMR,Protein,134,,15650.69,,,,,,,,
4IA2,X-RAY DIFFRACTION,Protein,313,2.95,35999.18,"VAPOR DIFFUSION, SITTING DROP",293,2.34,47.5,"Bis-Tris 0.1 M, lithium sulfate 1.6 M and magnesium sulfate 50 mM , pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",6.5,2013,
1UVY,X-RAY DIFFRACTION,Protein,116,2.4,12662.12,,,2.67,54,"AMMONIUM SULPHATE, SODIUM ACETATE, pH 6.00",6,2004,
2R8R,X-RAY DIFFRACTION,Protein,456,2.3,51526.41,"VAPOR DIFFUSION, HANGING DROP",291,2.97,58.56,"1M Ammonium sulfate, 0.5% PEG 8000, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 291K",7,,
3PY0,X-RAY DIFFRACTION,Protein,306,1.75,35159.63,"VAPOR DIFFUSION, HANGING DROP",291,2,38.55,"5 mg/mL CDK2, 1.5 mM SU9516, 15% (v/v) PEG3350, 50 mM HEPES/NaOH, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",7.5,2011,
1TKH,X-RAY DIFFRACTION,Protein,284,1.25,30251.93,"VAPOR DIFFUSION, HANGING DROP",298,1.92,35.9,"PEG 4000, sodium acetate, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",5.5,,
2VBU,X-RAY DIFFRACTION,Protein,136,1.7,16491.52,,,3,58.3,"35% V/V MPD, 100 MM IMIDAZOLE",,2007,
2M00,SOLUTION NMR,Protein,149,,16776.3,,,,,,,2013,
2ZE6,X-RAY DIFFRACTION,Protein,253,2.1,29454.21,"VAPOR DIFFUSION, HANGING DROP",277,2.62,53.08,"1.4-2.0M sodium formate, 5mM magnesium chloride, 0.1M sodium acetate buffer, 20mM dimethylallyl S-thiolodiphosphate, pH 4.8-5.4., VAPOR DIFFUSION, HANGING DROP, temperature 277K",4.8,2008,
3FGV,X-RAY DIFFRACTION,Protein,212,1.3,25122.89,"VAPOR DIFFUSION, SITTING DROP",277,2.52,51.17,"0.2000M NH4I, 20.0000% PEG-3350, No Buffer pH 6.2, NANODROP, VAPOR DIFFUSION, SITTING DROP, temperature 277K",6.2,,
4X6R,X-RAY DIFFRACTION,Protein,640,2.4,75071.27,BATCH MODE,298,4.3,71.41,"Crystallization of RIb(91-379,R333K): myrC(K7C) heterodimer :RC heterodimer that was concentrated to 14 mg/mL and screened against different ammonium sulfate concentrations ranging from 0.8-2.5 M in 0.1 M sodium citrate buffer and also varying the pH from 5.0-6.0 using the hanging drop vapor diffusion method. The crystal used for structure determination was obtained from a 4 uL drop containing 1:1 protein to well solution with the well solution containing 1.6 M ammonium sulfate and 0.1 M sodium citrate at pH 5.5",,2015,
2LXU,SOLUTION NMR,Protein,108,,12168.55,,,,,,,,
